Date,Country Code,Country,Continent,WHO Region,New Cases,Cumulative Cases,New Deaths,Cumulative Deaths,Latitude,Longitude
2023-05-07,AU,Australia,Oceania,WPRO,29663.0,11295254,173.0,21514,-25.274398,133.775136
2023-05-14,AU,Australia,Oceania,WPRO,31859.0,11327113,173.0,21687,-25.274398,133.775136
2023-05-21,AU,Australia,Oceania,WPRO,37720.0,11364833,170.0,21857,-25.274398,133.775136
2023-05-28,AU,Australia,Oceania,WPRO,41012.0,11405845,213.0,22070,-25.274398,133.775136
2023-06-04,AU,Australia,Oceania,WPRO,39051.0,11444896,232.0,22302,-25.274398,133.775136
2023-06-11,AU,Australia,Oceania,WPRO,33125.0,11478021,226.0,22528,-25.274398,133.775136
2023-06-18,AU,Australia,Oceania,WPRO,22769.0,11500790,183.0,22711,-25.274398,133.775136
2023-06-25,AU,Australia,Oceania,WPRO,16822.0,11517612,59.0,22770,-25.274398,133.775136
2023-07-23,AU,Australia,Oceania,WPRO,6495.0,11555995,-76.0,22694,-25.274398,133.775136
2023-07-30,AU,Australia,Oceania,WPRO,5525.0,11561520,85.0,22779,-25.274398,133.775136
2023-08-06,AU,Australia,Oceania,WPRO,5410.0,11566930,60.0,22839,-25.274398,133.775136
2023-08-13,AU,Australia,Oceania,WPRO,5116.0,11572046,67.0,22906,-25.274398,133.775136
2023-08-20,AU,Australia,Oceania,WPRO,5194.0,11577240,56.0,22962,-25.274398,133.775136
2023-08-27,AU,Australia,Oceania,WPRO,5176.0,11582416,53.0,23015,-25.274398,133.775136
2023-09-03,AU,Australia,Oceania,WPRO,5491.0,11587907,39.0,23054,-25.274398,133.775136
2023-09-10,AU,Australia,Oceania,WPRO,5033.0,11592940,40.0,23094,-25.274398,133.775136
2023-09-17,AU,Australia,Oceania,WPRO,5017.0,11597957,38.0,23132,-25.274398,133.775136
2023-09-24,AU,Australia,Oceania,WPRO,5189.0,11603146,37.0,23169,-25.274398,133.775136
2023-10-01,AU,Australia,Oceania,WPRO,5393.0,11608539,33.0,23202,-25.274398,133.775136
2023-10-08,AU,Australia,Oceania,WPRO,5561.0,11614100,78.0,23280,-25.274398,133.775136
2023-10-15,AU,Australia,Oceania,WPRO,4691.0,11618791,45.0,23325,-25.274398,133.775136
2023-10-22,AU,Australia,Oceania,WPRO,5358.0,11624149,52.0,23377,-25.274398,133.775136
2023-10-29,AU,Australia,Oceania,WPRO,6347.0,11630496,72.0,23449,-25.274398,133.775136
2023-11-05,AU,Australia,Oceania,WPRO,7687.0,11638183,51.0,23500,-25.274398,133.775136
2023-11-12,AU,Australia,Oceania,WPRO,10293.0,11648476,113.0,23613,-25.274398,133.775136
2023-11-19,AU,Australia,Oceania,WPRO,10799.0,11659275,91.0,23704,-25.274398,133.775136
2023-11-26,AU,Australia,Oceania,WPRO,10282.0,11669557,89.0,23793,-25.274398,133.775136
2023-12-03,AU,Australia,Oceania,WPRO,9620.0,11679177,152.0,23945,-25.274398,133.775136
2023-12-10,AU,Australia,Oceania,WPRO,9981.0,11689158,172.0,24117,-25.274398,133.775136
2023-12-17,AU,Australia,Oceania,WPRO,10497.0,11699655,92.0,24209,-25.274398,133.775136
2023-12-24,AU,Australia,Oceania,WPRO,11146.0,11710801,64.0,24273,-25.274398,133.775136
2023-12-31,AU,Australia,Oceania,WPRO,10734.0,11721535,71.0,24344,-25.274398,133.775136
2024-01-07,AU,Australia,Oceania,WPRO,9818.0,11731353,63.0,24407,-25.274398,133.775136
2024-01-14,AU,Australia,Oceania,WPRO,11054.0,11742407,60.0,24467,-25.274398,133.775136
2024-01-21,AU,Australia,Oceania,WPRO,10792.0,11753199,137.0,24604,-25.274398,133.775136
2024-01-28,AU,Australia,Oceania,WPRO,9043.0,11762242,53.0,24657,-25.274398,133.775136
2024-02-04,AU,Australia,Oceania,WPRO,7918.0,11770160,53.0,24710,-25.274398,133.775136
2024-02-11,AU,Australia,Oceania,WPRO,8100.0,11778260,75.0,24785,-25.274398,133.775136
